condition,phase,block,trial_number,hebb_trial,item0_color,item0_position,item1_color,item1_position,item2_color,item2_position,item3_color,item3_position,item4_color,item4_position,item5_color,item5_position
condition,Learning,1,4,yes,red,10,black,40,magenta,35,blue,25,cyan,7,orange,15
condition,Learning,1,5,no,red,35,orange,15,blue,21,white,38,black,25,magenta,49
condition,Learning,1,6,no,blue,25,lime,1,red,21,magenta,35,cyan,15,orange,40
condition,Learning,1,7,no,orange,25,black,40,magenta,15,yellow,7,lime,21,red,1
condition,Learning,2,8,no,magenta,40,black,38,red,49,lime,15,white,1,cyan,43
condition,Learning,2,9,no,black,40,red,25,magenta,21,orange,10,blue,35,yellow,15
condition,Learning,2,10,no,orange,25,blue,15,cyan,7,magenta,38,lime,40,black,21
condition,Learning,2,11,yes,red,10,black,40,magenta,35,blue,25,cyan,7,orange,15
condition,Learning,3,12,no,magenta,7,black,49,blue,1,red,21,orange,15,cyan,25
condition,Learning,3,13,yes,red,10,black,40,magenta,35,blue,25,cyan,7,orange,15
condition,Learning,3,14,no,white,7,lime,38,orange,15,magenta,1,cyan,29,red,21
condition,Learning,3,15,no,red,21,blue,25,orange,49,magenta,40,white,38,yellow,7
condition,Learning,4,16,no,white,49,magenta,1,yellow,35,blue,10,lime,25,black,21
condition,Learning,4,17,no,lime,25,orange,7,red,38,blue,40,cyan,12,yellow,43
condition,Learning,4,18,no,magenta,1,cyan,7,white,43,black,25,red,38,orange,49
condition,Learning,4,19,yes,red,10,black,40,magenta,35,blue,25,cyan,7,orange,15
condition,Learning,5,20,no,yellow,40,lime,29,white,49,cyan,38,orange,1,red,15
condition,Learning,5,21,no,yellow,25,red,38,black,1,blue,35,magenta,7,orange,21
condition,Learning,5,22,no,yellow,38,white,35,red,21,cyan,1,blue,15,orange,40
condition,Learning,5,23,yes,red,10,black,40,magenta,35,blue,25,cyan,7,orange,15
condition,Learning,6,24,no,blue,43,magenta,1,lime,38,white,17,orange,21,black,7
condition,Learning,6,25,no,magenta,15,orange,40,lime,1,red,21,cyan,35,blue,38
condition,Learning,6,26,no,orange,15,lime,25,black,12,red,49,blue,7,cyan,29
condition,Learning,6,27,yes,red,10,black,40,magenta,35,blue,25,cyan,7,orange,15
condition,Learning,7,28,no,lime,25,black,40,orange,15,yellow,12,white,7,cyan,21
condition,Learning,7,29,yes,red,10,black,40,magenta,35,blue,25,cyan,7,orange,15
condition,Learning,7,30,no,cyan,21,magenta,15,black,25,yellow,49,orange,43,blue,1
condition,Learning,7,31,no,white,1,cyan,7,magenta,21,lime,38,yellow,25,blue,15
condition,Learning,8,32,no,white,1,magenta,25,lime,38,cyan,21,black,40,blue,7
condition,Learning,8,33,no,lime,7,magenta,10,black,43,yellow,25,cyan,1,orange,21
condition,Learning,8,34,yes,red,10,black,40,magenta,35,blue,25,cyan,7,orange,15
condition,Learning,8,35,no,orange,21,blue,10,black,1,white,35,red,43,lime,38
condition,Learning,9,36,no,red,1,yellow,21,blue,25,lime,43,white,40,black,15
condition,Learning,9,37,yes,red,10,black,40,magenta,35,blue,25,cyan,7,orange,15
condition,Learning,9,38,no,magenta,21,blue,25,black,40,red,10,white,15,orange,29
condition,Learning,9,39,no,orange,40,magenta,7,blue,38,cyan,15,red,1,black,49
condition,Learning,10,40,no,black,35,white,10,blue,21,red,1,yellow,25,magenta,12
condition,Learning,10,41,yes,red,10,black,40,magenta,35,blue,25,cyan,7,orange,15
condition,Learning,10,42,no,black,21,yellow,12,red,35,cyan,38,white,15,magenta,25
condition,Learning,10,43,no,orange,38,black,7,blue,15,magenta,40,cyan,12,lime,25
